arrival_delay_minutes,aircraft_type,gate_availability,ground_staff_level,weather_condition,time_of_day,turnaround_delay_risk,turnaround_delay_minutes
86,Narrowbody,Available,Adequate,Clear,Off-Peak,1,125
32,Narrowbody,Available,Adequate,Clear,Off-Peak,0,32
66,Narrowbody,Available,Low,Clear,Off-Peak,1,83
17,Narrowbody,Available,Low,Storm,Off-Peak,0,17
24,Narrowbody,Available,Adequate,Rain,Off-Peak,0,24
105,Widebody,Available,Low,Rain,Peak,1,136
94,Widebody,Constrained,Adequate,Clear,Peak,1,118
53,Narrowbody,Available,Adequate,Rain,Off-Peak,0,53
57,Narrowbody,Available,Adequate,Clear,Off-Peak,0,57
66,Narrowbody,Available,Adequate,Clear,Peak,1,95
103,Narrowbody,Available,Adequate,Rain,Off-Peak,1,153
45,Widebody,Available,Adequate,Clear,Off-Peak,0,45
23,Narrowbody,Available,Adequate,Rain,Peak,0,23
113,Narrowbody,Available,Adequate,Clear,Peak,1,123
31,Narrowbody,Available,Adequate,Rain,Peak,0,31
46,Widebody,Constrained,Low,Clear,Off-Peak,1,74
85,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,108
22,Narrowbody,Constrained,Adequate,Clear,Peak,0,22
65,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,112
26,Narrowbody,Available,Adequate,Storm,Off-Peak,0,26
105,Narrowbody,Constrained,Low,Clear,Off-Peak,1,140
1,Narrowbody,Available,Adequate,Rain,Off-Peak,0,1
89,Narrowbody,Constrained,Adequate,Storm,Peak,1,127
16,Narrowbody,Constrained,Low,Clear,Peak,1,40
103,Narrowbody,Available,Adequate,Clear,Peak,1,158
32,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,32
8,Narrowbody,Available,Adequate,Storm,Off-Peak,0,8
42,Narrowbody,Available,Low,Storm,Off-Peak,1,79
117,Widebody,Available,Adequate,Clear,Off-Peak,1,129
47,Narrowbody,Available,Adequate,Rain,Peak,1,74
38,Narrowbody,Available,Adequate,Clear,Off-Peak,0,38
92,Narrowbody,Available,Adequate,Storm,Off-Peak,1,133
41,Narrowbody,Constrained,Adequate,Storm,Off-Peak,1,79
118,Widebody,Available,Adequate,Clear,Peak,1,152
25,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,25
98,Widebody,Constrained,Low,Clear,Off-Peak,1,146
49,Narrowbody,Constrained,Low,Clear,Off-Peak,1,66
24,Narrowbody,Constrained,Adequate,Rain,Peak,1,52
23,Widebody,Available,Low,Clear,Off-Peak,0,23
12,Widebody,Constrained,Adequate,Clear,Peak,0,12
59,Widebody,Constrained,Adequate,Clear,Peak,1,90
6,Widebody,Available,Adequate,Storm,Off-Peak,0,6
56,Narrowbody,Available,Low,Rain,Peak,1,98
35,Widebody,Available,Low,Clear,Off-Peak,1,82
44,Narrowbody,Available,Adequate,Clear,Peak,0,44
19,Widebody,Available,Low,Storm,Off-Peak,1,74
64,Narrowbody,Available,Adequate,Rain,Off-Peak,1,108
7,Widebody,Available,Low,Clear,Off-Peak,0,7
109,Narrowbody,Available,Low,Clear,Off-Peak,1,121
15,Narrowbody,Constrained,Adequate,Clear,Peak,0,15
13,Narrowbody,Available,Low,Clear,Off-Peak,0,13
75,Widebody,Available,Adequate,Clear,Peak,1,111
114,Narrowbody,Available,Adequate,Storm,Off-Peak,1,138
86,Narrowbody,Available,Adequate,Clear,Peak,1,106
14,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,14
91,Narrowbody,Available,Low,Clear,Off-Peak,1,126
97,Widebody,Available,Adequate,Rain,Off-Peak,1,130
65,Narrowbody,Available,Adequate,Rain,Peak,1,87
31,Widebody,Available,Low,Clear,Off-Peak,0,31
86,Narrowbody,Constrained,Low,Clear,Off-Peak,1,132
62,Narrowbody,Available,Adequate,Rain,Off-Peak,1,75
85,Widebody,Available,Low,Clear,Peak,1,107
50,Narrowbody,Available,Adequate,Clear,Off-Peak,0,50
24,Narrowbody,Available,Low,Clear,Peak,0,24
57,Narrowbody,Available,Adequate,Storm,Off-Peak,1,100
62,Widebody,Available,Adequate,Clear,Peak,1,108
61,Narrowbody,Available,Adequate,Rain,Peak,1,118
21,Widebody,Available,Adequate,Clear,Off-Peak,0,21
57,Widebody,Available,Adequate,Rain,Off-Peak,1,67
57,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,78
85,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,115
48,Narrowbody,Available,Low,Clear,Off-Peak,0,48
51,Narrowbody,Constrained,Adequate,Rain,Peak,1,104
41,Narrowbody,Available,Adequate,Rain,Off-Peak,0,41
69,Narrowbody,Available,Adequate,Clear,Peak,1,122
14,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,14
53,Widebody,Constrained,Low,Clear,Peak,1,96
106,Widebody,Constrained,Low,Clear,Off-Peak,1,149
59,Widebody,Available,Adequate,Rain,Off-Peak,1,93
100,Narrowbody,Available,Adequate,Clear,Off-Peak,1,113
96,Narrowbody,Constrained,Low,Clear,Off-Peak,1,131
7,Narrowbody,Available,Adequate,Rain,Off-Peak,0,7
52,Widebody,Available,Low,Clear,Peak,1,71
59,Narrowbody,Available,Adequate,Clear,Peak,1,113
107,Widebody,Available,Low,Clear,Off-Peak,1,118
107,Narrowbody,Available,Adequate,Storm,Off-Peak,1,151
4,Narrowbody,Available,Adequate,Rain,Off-Peak,0,4
102,Widebody,Constrained,Low,Rain,Off-Peak,1,117
67,Narrowbody,Available,Adequate,Clear,Off-Peak,0,67
5,Widebody,Available,Adequate,Rain,Peak,0,5
108,Widebody,Available,Adequate,Clear,Peak,1,131
95,Narrowbody,Available,Adequate,Clear,Peak,1,114
115,Narrowbody,Available,Adequate,Clear,Off-Peak,1,127
93,Narrowbody,Available,Adequate,Clear,Peak,1,140
46,Widebody,Constrained,Adequate,Clear,Peak,1,84
98,Narrowbody,Available,Adequate,Clear,Off-Peak,1,122
54,Narrowbody,Constrained,Low,Clear,Off-Peak,1,86
39,Narrowbody,Available,Adequate,Clear,Peak,0,39
51,Widebody,Available,Adequate,Rain,Off-Peak,1,78
15,Narrowbody,Available,Adequate,Clear,Off-Peak,0,15
12,Widebody,Available,Adequate,Rain,Off-Peak,0,12
113,Widebody,Constrained,Adequate,Clear,Peak,1,150
105,Narrowbody,Available,Adequate,Rain,Off-Peak,1,140
29,Narrowbody,Available,Adequate,Clear,Peak,0,29
18,Widebody,Constrained,Adequate,Clear,Peak,1,74
16,Narrowbody,Constrained,Adequate,Clear,Peak,0,16
119,Widebody,Constrained,Adequate,Rain,Off-Peak,1,130
62,Narrowbody,Available,Adequate,Rain,Peak,1,74
18,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,18
91,Widebody,Available,Adequate,Clear,Off-Peak,1,116
57,Narrowbody,Available,Adequate,Rain,Off-Peak,0,57
54,Narrowbody,Available,Low,Rain,Off-Peak,1,73
89,Narrowbody,Available,Adequate,Clear,Peak,1,117
100,Narrowbody,Available,Adequate,Clear,Off-Peak,1,137
89,Narrowbody,Available,Adequate,Clear,Off-Peak,1,115
116,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,153
61,Widebody,Available,Adequate,Clear,Peak,1,89
22,Narrowbody,Available,Adequate,Storm,Peak,0,22
8,Narrowbody,Available,Low,Clear,Peak,0,8
11,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,11
116,Widebody,Available,Low,Clear,Off-Peak,1,138
0,Narrowbody,Available,Adequate,Storm,Peak,0,0
57,Widebody,Constrained,Adequate,Rain,Off-Peak,1,109
0,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,0
110,Narrowbody,Available,Adequate,Rain,Peak,1,167
33,Narrowbody,Available,Adequate,Clear,Off-Peak,0,33
95,Narrowbody,Constrained,Adequate,Clear,Peak,1,121
117,Narrowbody,Available,Adequate,Clear,Off-Peak,1,176
47,Narrowbody,Available,Low,Clear,Off-Peak,0,47
88,Widebody,Constrained,Low,Clear,Off-Peak,1,116
103,Narrowbody,Available,Adequate,Storm,Off-Peak,1,116
108,Narrowbody,Available,Adequate,Clear,Peak,1,139
116,Narrowbody,Available,Adequate,Storm,Peak,1,147
0,Widebody,Available,Adequate,Clear,Off-Peak,0,0
15,Narrowbody,Available,Adequate,Rain,Off-Peak,0,15
60,Narrowbody,Constrained,Adequate,Clear,Peak,1,103
102,Narrowbody,Available,Adequate,Clear,Peak,1,144
63,Widebody,Available,Adequate,Clear,Off-Peak,1,116
62,Narrowbody,Available,Low,Clear,Off-Peak,1,113
68,Narrowbody,Available,Adequate,Rain,Off-Peak,1,117
21,Widebody,Constrained,Low,Clear,Peak,1,63
92,Widebody,Available,Adequate,Rain,Peak,1,113
118,Narrowbody,Available,Adequate,Clear,Off-Peak,1,129
66,Widebody,Available,Adequate,Clear,Peak,1,103
75,Narrowbody,Available,Adequate,Clear,Off-Peak,1,94
25,Narrowbody,Available,Adequate,Storm,Off-Peak,0,25
15,Narrowbody,Available,Adequate,Rain,Off-Peak,0,15
50,Narrowbody,Constrained,Adequate,Clear,Peak,1,85
100,Narrowbody,Available,Adequate,Clear,Off-Peak,1,112
85,Widebody,Available,Adequate,Clear,Off-Peak,1,101
56,Narrowbody,Available,Adequate,Storm,Off-Peak,1,109
28,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,28
77,Narrowbody,Available,Adequate,Clear,Off-Peak,1,106
91,Widebody,Available,Adequate,Clear,Peak,1,112
68,Narrowbody,Available,Adequate,Clear,Off-Peak,0,68
46,Narrowbody,Available,Low,Storm,Peak,1,72
112,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,149
93,Narrowbody,Available,Low,Rain,Off-Peak,1,143
109,Widebody,Available,Adequate,Clear,Off-Peak,1,128
61,Widebody,Constrained,Adequate,Rain,Off-Peak,1,92
115,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,162
68,Widebody,Constrained,Adequate,Rain,Off-Peak,1,110
75,Narrowbody,Constrained,Adequate,Rain,Peak,1,106
15,Widebody,Available,Low,Rain,Peak,1,68
89,Narrowbody,Available,Adequate,Clear,Off-Peak,1,135
89,Narrowbody,Available,Adequate,Clear,Off-Peak,1,111
47,Narrowbody,Available,Adequate,Clear,Off-Peak,0,47
84,Narrowbody,Available,Low,Storm,Off-Peak,1,108
38,Narrowbody,Available,Adequate,Clear,Off-Peak,0,38
99,Narrowbody,Available,Adequate,Rain,Peak,1,138
32,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,32
93,Widebody,Available,Low,Clear,Off-Peak,1,142
100,Narrowbody,Constrained,Low,Clear,Off-Peak,1,146
22,Narrowbody,Available,Adequate,Clear,Off-Peak,0,22
9,Widebody,Available,Low,Clear,Peak,0,9
117,Narrowbody,Available,Low,Clear,Off-Peak,1,160
68,Narrowbody,Available,Adequate,Clear,Off-Peak,0,68
99,Narrowbody,Available,Adequate,Rain,Peak,1,143
33,Widebody,Constrained,Adequate,Storm,Off-Peak,1,84
51,Narrowbody,Available,Low,Clear,Peak,1,79
94,Narrowbody,Available,Adequate,Clear,Peak,1,111
9,Widebody,Available,Low,Clear,Off-Peak,0,9
18,Widebody,Available,Adequate,Rain,Peak,0,18
57,Narrowbody,Constrained,Low,Rain,Off-Peak,1,110
95,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,132
0,Narrowbody,Available,Adequate,Clear,Off-Peak,0,0
119,Widebody,Available,Low,Rain,Off-Peak,1,176
68,Narrowbody,Available,Low,Rain,Peak,1,102
108,Narrowbody,Constrained,Low,Clear,Peak,1,153
3,Widebody,Available,Adequate,Rain,Peak,0,3
15,Narrowbody,Available,Adequate,Clear,Peak,0,15
23,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,23
79,Narrowbody,Available,Adequate,Rain,Off-Peak,1,90
118,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,158
1,Narrowbody,Available,Adequate,Clear,Off-Peak,0,1
112,Narrowbody,Available,Adequate,Storm,Off-Peak,1,154
91,Narrowbody,Available,Low,Clear,Peak,1,130
31,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,31
90,Widebody,Constrained,Adequate,Clear,Off-Peak,1,143
83,Narrowbody,Available,Adequate,Rain,Off-Peak,1,104
23,Widebody,Available,Adequate,Storm,Peak,1,81
11,Narrowbody,Available,Adequate,Clear,Peak,0,11
49,Widebody,Constrained,Low,Storm,Peak,1,82
34,Widebody,Available,Low,Rain,Off-Peak,1,54
32,Narrowbody,Available,Low,Rain,Peak,1,54
32,Widebody,Available,Low,Clear,Off-Peak,0,32
60,Widebody,Constrained,Adequate,Rain,Peak,1,77
50,Narrowbody,Available,Adequate,Rain,Off-Peak,0,50
42,Narrowbody,Available,Adequate,Clear,Off-Peak,0,42
100,Narrowbody,Available,Adequate,Storm,Off-Peak,1,129
11,Widebody,Constrained,Adequate,Clear,Peak,0,11
66,Widebody,Available,Adequate,Clear,Off-Peak,1,84
64,Widebody,Available,Adequate,Clear,Peak,1,80
32,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,32
39,Widebody,Available,Adequate,Rain,Off-Peak,0,39
73,Narrowbody,Available,Adequate,Clear,Off-Peak,1,84
42,Narrowbody,Available,Adequate,Storm,Off-Peak,1,94
43,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,43
28,Narrowbody,Available,Adequate,Clear,Off-Peak,0,28
12,Narrowbody,Constrained,Low,Clear,Peak,1,42
11,Narrowbody,Available,Adequate,Clear,Off-Peak,0,11
94,Narrowbody,Available,Adequate,Storm,Peak,1,131
45,Narrowbody,Available,Low,Rain,Peak,1,89
1,Narrowbody,Constrained,Adequate,Rain,Peak,0,1
114,Narrowbody,Available,Adequate,Clear,Off-Peak,1,169
113,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,137
34,Narrowbody,Available,Adequate,Clear,Off-Peak,0,34
86,Narrowbody,Available,Low,Clear,Peak,1,107
80,Narrowbody,Available,Low,Clear,Peak,1,125
89,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,101
7,Narrowbody,Available,Adequate,Clear,Off-Peak,0,7
92,Narrowbody,Available,Adequate,Rain,Peak,1,104
25,Narrowbody,Available,Adequate,Clear,Off-Peak,0,25
73,Widebody,Constrained,Adequate,Clear,Peak,1,101
89,Narrowbody,Available,Adequate,Rain,Off-Peak,1,100
33,Narrowbody,Constrained,Adequate,Clear,Peak,1,86
114,Narrowbody,Available,Adequate,Rain,Off-Peak,1,160
104,Narrowbody,Available,Adequate,Rain,Off-Peak,1,130
6,Narrowbody,Available,Adequate,Clear,Peak,0,6
67,Narrowbody,Constrained,Adequate,Storm,Peak,1,104
57,Narrowbody,Constrained,Low,Clear,Off-Peak,1,93
116,Narrowbody,Available,Adequate,Clear,Off-Peak,1,135
113,Narrowbody,Available,Adequate,Rain,Peak,1,125
108,Widebody,Available,Low,Clear,Peak,1,153
74,Widebody,Available,Adequate,Rain,Peak,1,121
28,Widebody,Available,Adequate,Rain,Peak,0,28
119,Widebody,Available,Adequate,Storm,Off-Peak,1,150
35,Narrowbody,Available,Adequate,Clear,Off-Peak,0,35
88,Narrowbody,Available,Adequate,Clear,Peak,1,136
20,Narrowbody,Available,Adequate,Rain,Peak,0,20
35,Narrowbody,Available,Adequate,Clear,Off-Peak,0,35
9,Widebody,Available,Low,Clear,Off-Peak,0,9
100,Narrowbody,Available,Adequate,Clear,Peak,1,139
72,Widebody,Constrained,Adequate,Clear,Off-Peak,1,109
23,Narrowbody,Available,Low,Clear,Off-Peak,0,23
63,Widebody,Available,Adequate,Rain,Off-Peak,1,98
98,Narrowbody,Available,Low,Rain,Peak,1,150
48,Narrowbody,Available,Adequate,Clear,Peak,0,48
98,Narrowbody,Available,Low,Clear,Off-Peak,1,128
111,Narrowbody,Available,Adequate,Clear,Peak,1,121
35,Narrowbody,Constrained,Low,Rain,Peak,1,81
81,Narrowbody,Available,Low,Clear,Off-Peak,1,103
112,Widebody,Available,Adequate,Rain,Peak,1,142
102,Narrowbody,Available,Adequate,Clear,Off-Peak,1,157
95,Narrowbody,Available,Adequate,Rain,Off-Peak,1,113
23,Narrowbody,Available,Adequate,Clear,Off-Peak,0,23
22,Widebody,Constrained,Adequate,Rain,Off-Peak,1,78
61,Narrowbody,Available,Adequate,Clear,Off-Peak,0,61
95,Narrowbody,Available,Adequate,Rain,Peak,1,135
36,Narrowbody,Available,Adequate,Clear,Peak,0,36
11,Narrowbody,Available,Adequate,Rain,Peak,0,11
112,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,133
54,Narrowbody,Available,Adequate,Clear,Off-Peak,0,54
12,Narrowbody,Available,Adequate,Rain,Off-Peak,0,12
22,Widebody,Available,Adequate,Clear,Off-Peak,0,22
88,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,102
98,Narrowbody,Available,Adequate,Clear,Peak,1,116
104,Narrowbody,Available,Adequate,Clear,Peak,1,159
29,Widebody,Available,Adequate,Rain,Off-Peak,0,29
16,Narrowbody,Available,Low,Rain,Off-Peak,0,16
112,Widebody,Available,Adequate,Clear,Peak,1,165
61,Narrowbody,Available,Adequate,Clear,Off-Peak,0,61
83,Narrowbody,Available,Adequate,Rain,Peak,1,122
111,Narrowbody,Available,Low,Storm,Peak,1,146
88,Widebody,Available,Low,Clear,Peak,1,142
85,Narrowbody,Available,Adequate,Storm,Off-Peak,1,123
12,Widebody,Available,Adequate,Clear,Peak,0,12
58,Widebody,Available,Low,Clear,Off-Peak,1,114
18,Narrowbody,Available,Adequate,Rain,Peak,0,18
48,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,80
99,Narrowbody,Available,Adequate,Clear,Off-Peak,1,150
11,Narrowbody,Available,Adequate,Clear,Off-Peak,0,11
60,Widebody,Available,Low,Rain,Off-Peak,1,100
104,Widebody,Constrained,Low,Rain,Peak,1,148
18,Narrowbody,Available,Low,Clear,Peak,0,18
75,Narrowbody,Available,Adequate,Clear,Peak,1,89
8,Widebody,Available,Low,Clear,Off-Peak,0,8
70,Narrowbody,Available,Adequate,Clear,Peak,1,96
27,Widebody,Available,Adequate,Clear,Off-Peak,0,27
77,Narrowbody,Available,Low,Rain,Peak,1,124
94,Narrowbody,Available,Adequate,Clear,Peak,1,135
51,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,80
82,Narrowbody,Available,Adequate,Clear,Peak,1,139
110,Narrowbody,Available,Low,Clear,Off-Peak,1,121
15,Narrowbody,Available,Adequate,Storm,Off-Peak,0,15
116,Narrowbody,Available,Adequate,Clear,Off-Peak,1,172
68,Widebody,Available,Adequate,Clear,Off-Peak,1,95
98,Widebody,Available,Low,Clear,Peak,1,108
11,Narrowbody,Available,Low,Clear,Off-Peak,0,11
24,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,24
51,Narrowbody,Constrained,Adequate,Clear,Peak,1,79
84,Narrowbody,Available,Adequate,Clear,Peak,1,137
99,Narrowbody,Available,Low,Clear,Peak,1,148
52,Narrowbody,Constrained,Adequate,Clear,Peak,1,67
22,Narrowbody,Available,Low,Clear,Peak,0,22
15,Narrowbody,Constrained,Adequate,Storm,Off-Peak,0,15
56,Narrowbody,Available,Low,Clear,Off-Peak,1,115
38,Narrowbody,Available,Low,Clear,Off-Peak,0,38
108,Widebody,Available,Adequate,Clear,Off-Peak,1,125
52,Narrowbody,Available,Low,Clear,Peak,1,85
41,Narrowbody,Available,Adequate,Rain,Off-Peak,0,41
57,Narrowbody,Available,Adequate,Clear,Peak,1,80
38,Narrowbody,Available,Adequate,Rain,Off-Peak,0,38
13,Widebody,Available,Low,Clear,Off-Peak,0,13
94,Narrowbody,Available,Adequate,Clear,Off-Peak,1,143
4,Widebody,Constrained,Adequate,Rain,Peak,0,4
34,Narrowbody,Available,Adequate,Clear,Peak,0,34
86,Narrowbody,Constrained,Adequate,Clear,Peak,1,140
92,Widebody,Available,Adequate,Clear,Off-Peak,1,108
106,Narrowbody,Available,Adequate,Rain,Peak,1,131
74,Narrowbody,Constrained,Low,Clear,Off-Peak,1,90
17,Narrowbody,Available,Adequate,Rain,Off-Peak,0,17
110,Narrowbody,Available,Adequate,Clear,Peak,1,133
75,Widebody,Available,Adequate,Rain,Off-Peak,1,98
8,Narrowbody,Available,Adequate,Clear,Peak,0,8
73,Narrowbody,Available,Low,Rain,Off-Peak,1,115
57,Narrowbody,Constrained,Low,Clear,Peak,1,99
107,Narrowbody,Available,Adequate,Storm,Peak,1,160
16,Narrowbody,Available,Low,Clear,Off-Peak,0,16
101,Narrowbody,Available,Low,Clear,Peak,1,157
6,Narrowbody,Available,Low,Clear,Off-Peak,0,6
45,Widebody,Available,Adequate,Clear,Peak,1,61
12,Narrowbody,Available,Low,Clear,Off-Peak,0,12
39,Narrowbody,Available,Adequate,Storm,Off-Peak,0,39
41,Widebody,Available,Adequate,Storm,Off-Peak,1,53
8,Narrowbody,Available,Adequate,Clear,Off-Peak,0,8
49,Narrowbody,Available,Adequate,Storm,Peak,1,87
26,Narrowbody,Available,Adequate,Clear,Off-Peak,0,26
65,Narrowbody,Available,Adequate,Clear,Off-Peak,0,65
4,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,4
28,Widebody,Available,Low,Rain,Off-Peak,1,85
36,Narrowbody,Available,Low,Storm,Peak,1,69
37,Narrowbody,Available,Adequate,Clear,Peak,0,37
82,Widebody,Available,Low,Rain,Off-Peak,1,114
7,Narrowbody,Available,Low,Clear,Peak,0,7
111,Narrowbody,Available,Low,Clear,Peak,1,130
108,Narrowbody,Available,Adequate,Clear,Off-Peak,1,133
64,Widebody,Available,Adequate,Storm,Peak,1,84
85,Narrowbody,Available,Low,Rain,Off-Peak,1,126
115,Narrowbody,Available,Adequate,Rain,Peak,1,169
16,Narrowbody,Available,Adequate,Clear,Peak,0,16
70,Narrowbody,Available,Adequate,Clear,Off-Peak,1,103
88,Narrowbody,Constrained,Adequate,Clear,Peak,1,130
44,Narrowbody,Constrained,Adequate,Clear,Peak,1,65
3,Widebody,Constrained,Adequate,Clear,Off-Peak,0,3
35,Narrowbody,Constrained,Adequate,Rain,Peak,1,82
69,Narrowbody,Constrained,Low,Clear,Off-Peak,1,96
30,Widebody,Available,Low,Clear,Peak,1,84
18,Widebody,Available,Adequate,Clear,Peak,0,18
60,Narrowbody,Available,Low,Clear,Off-Peak,1,82
107,Narrowbody,Available,Adequate,Clear,Off-Peak,1,156
53,Narrowbody,Available,Adequate,Storm,Peak,1,92
38,Widebody,Available,Low,Rain,Off-Peak,1,96
90,Widebody,Available,Low,Rain,Off-Peak,1,140
73,Narrowbody,Available,Low,Clear,Off-Peak,1,95
89,Widebody,Constrained,Adequate,Clear,Off-Peak,1,132
18,Narrowbody,Available,Low,Clear,Off-Peak,0,18
38,Narrowbody,Available,Adequate,Rain,Off-Peak,0,38
66,Narrowbody,Available,Low,Rain,Off-Peak,1,100
44,Widebody,Available,Low,Clear,Peak,1,55
12,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,12
113,Widebody,Available,Adequate,Clear,Off-Peak,1,140
91,Widebody,Constrained,Low,Rain,Off-Peak,1,105
57,Widebody,Available,Adequate,Storm,Peak,1,85
19,Narrowbody,Available,Adequate,Clear,Off-Peak,0,19
91,Narrowbody,Available,Low,Clear,Off-Peak,1,118
71,Narrowbody,Available,Adequate,Clear,Off-Peak,1,112
60,Narrowbody,Available,Low,Clear,Peak,1,90
104,Narrowbody,Available,Adequate,Clear,Peak,1,123
38,Widebody,Available,Adequate,Clear,Peak,0,38
0,Narrowbody,Constrained,Low,Rain,Peak,0,0
2,Narrowbody,Available,Adequate,Rain,Peak,0,2
76,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,98
91,Narrowbody,Available,Low,Rain,Peak,1,117
61,Narrowbody,Available,Adequate,Clear,Off-Peak,0,61
62,Narrowbody,Available,Adequate,Clear,Peak,1,95
112,Widebody,Available,Adequate,Clear,Peak,1,165
24,Narrowbody,Available,Low,Clear,Off-Peak,0,24
55,Widebody,Available,Low,Clear,Off-Peak,1,110
32,Widebody,Available,Low,Clear,Off-Peak,0,32
37,Narrowbody,Constrained,Adequate,Clear,Peak,1,83
116,Widebody,Available,Low,Storm,Peak,1,144
5,Narrowbody,Constrained,Adequate,Clear,Peak,0,5
57,Widebody,Available,Adequate,Clear,Off-Peak,1,112
43,Narrowbody,Available,Adequate,Clear,Peak,0,43
44,Widebody,Available,Low,Rain,Peak,1,83
31,Widebody,Available,Low,Clear,Peak,1,47
44,Widebody,Available,Adequate,Rain,Off-Peak,0,44
60,Widebody,Available,Adequate,Clear,Off-Peak,1,109
46,Narrowbody,Available,Low,Clear,Peak,1,101
20,Narrowbody,Available,Adequate,Clear,Peak,0,20
79,Narrowbody,Constrained,Low,Clear,Peak,1,99
117,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,140
84,Narrowbody,Available,Adequate,Clear,Off-Peak,1,114
74,Narrowbody,Available,Adequate,Clear,Peak,1,91
100,Widebody,Available,Adequate,Clear,Off-Peak,1,112
35,Narrowbody,Available,Low,Clear,Peak,1,72
98,Widebody,Available,Adequate,Storm,Off-Peak,1,136
18,Narrowbody,Available,Low,Clear,Off-Peak,0,18
19,Widebody,Available,Adequate,Rain,Peak,0,19
56,Widebody,Available,Adequate,Rain,Peak,1,100
17,Narrowbody,Available,Adequate,Clear,Off-Peak,0,17
46,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,67
104,Widebody,Constrained,Low,Clear,Peak,1,160
48,Narrowbody,Available,Adequate,Rain,Off-Peak,0,48
13,Narrowbody,Constrained,Adequate,Rain,Peak,0,13
14,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,14
30,Narrowbody,Available,Adequate,Storm,Peak,1,50
0,Narrowbody,Available,Adequate,Rain,Peak,0,0
116,Narrowbody,Available,Low,Clear,Peak,1,172
53,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,104
117,Narrowbody,Constrained,Adequate,Rain,Peak,1,173
2,Widebody,Available,Adequate,Clear,Off-Peak,0,2
15,Narrowbody,Available,Low,Clear,Off-Peak,0,15
86,Widebody,Available,Adequate,Rain,Peak,1,108
56,Narrowbody,Available,Adequate,Clear,Peak,1,79
74,Narrowbody,Available,Adequate,Storm,Peak,1,132
11,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,11
73,Narrowbody,Available,Adequate,Clear,Off-Peak,1,124
95,Narrowbody,Constrained,Adequate,Storm,Off-Peak,1,129
15,Narrowbody,Constrained,Low,Clear,Peak,1,57
71,Narrowbody,Available,Adequate,Clear,Peak,1,113
101,Narrowbody,Available,Low,Clear,Off-Peak,1,125
75,Narrowbody,Available,Adequate,Clear,Peak,1,100
23,Narrowbody,Available,Adequate,Clear,Off-Peak,0,23
27,Narrowbody,Available,Adequate,Clear,Off-Peak,0,27
116,Widebody,Available,Adequate,Clear,Off-Peak,1,131
7,Narrowbody,Available,Low,Clear,Off-Peak,0,7
91,Narrowbody,Available,Adequate,Rain,Off-Peak,1,125
35,Widebody,Available,Adequate,Rain,Peak,1,59
89,Narrowbody,Available,Adequate,Clear,Off-Peak,1,102
7,Narrowbody,Available,Low,Clear,Peak,0,7
57,Widebody,Available,Adequate,Clear,Off-Peak,1,96
59,Narrowbody,Available,Low,Clear,Peak,1,102
49,Narrowbody,Available,Adequate,Rain,Peak,1,85
27,Narrowbody,Available,Adequate,Rain,Peak,0,27
91,Narrowbody,Available,Adequate,Clear,Off-Peak,1,132
100,Narrowbody,Available,Adequate,Clear,Peak,1,153
40,Narrowbody,Available,Adequate,Clear,Peak,0,40
99,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,117
63,Narrowbody,Available,Low,Clear,Off-Peak,1,113
26,Widebody,Available,Low,Storm,Off-Peak,1,43
117,Widebody,Available,Low,Rain,Peak,1,140
